lable,refatory
29b1426218c6b91e5cbe78430c7f09ed3dabe79b63,Change Return Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b7,Change Variable Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b8,Change Parameter Type
3ae7fa2430d172c25fadeea729774cd83de0af750,Rename Variable
29b1426218c6b91e5cbe78430c7f09ed3dabe79b61,Change Attribute Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b62,Change Return Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b23,Change Variable Type
ed246677ff0235589f3a323708327247ba370ce42,Add Parameter Annotation
29b1426218c6b91e5cbe78430c7f09ed3dabe79b24,Change Parameter Type
ed246677ff0235589f3a323708327247ba370ce43,Remove Parameter Annotation
29b1426218c6b91e5cbe78430c7f09ed3dabe79b9,Change Parameter Type
ed246677ff0235589f3a323708327247ba370ce40,Add Parameter Annotation
ed246677ff0235589f3a323708327247ba370ce41,Remove Parameter Annotation
29b1426218c6b91e5cbe78430c7f09ed3dabe79b60,Change Attribute Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b4,Change Variable Type
bc43aadbf34827d6208168e47264905ed845d7864,Add Attribute Modifier
268010438921347095ef4321c9eb1b1a8268889b31,Change Attribute Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b14,Change Return Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b58,Change Attribute Type
268010438921347095ef4321c9eb1b1a8268889b30,Change Attribute Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b59,Change Attribute Type
e3c246906247d63e05a1006e8895f35049fb12cf0,Rename Variable
29b1426218c6b91e5cbe78430c7f09ed3dabe79b30,Change Parameter Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b52,Change Attribute Type
7bb30145991c40aa30e42fd8da00b4413f5674cd1,Rename Variable
7bb30145991c40aa30e42fd8da00b4413f5674cd0,Extract Variable
29b1426218c6b91e5cbe78430c7f09ed3dabe79b51,Change Variable Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b13,Change Parameter Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b57,Change Variable Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b55,Change Variable Type
f6f14bab1b912fb3b6aab3dc3bd4d7d98b5bd1d40,Modify Class Annotation
bc43aadbf34827d6208168e47264905ed845d7862,Add Attribute Modifier
268010438921347095ef4321c9eb1b1a8268889b29,Change Attribute Type
bc43aadbf34827d6208168e47264905ed845d7863,Add Attribute Modifier
29b1426218c6b91e5cbe78430c7f09ed3dabe79b27,Change Parameter Type
278c430fb7747142f6867731364fca4a0190abf11,Extract Variable
278c430fb7747142f6867731364fca4a0190abf12,Extract Variable
29b1426218c6b91e5cbe78430c7f09ed3dabe79b25,Change Parameter Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b69,Change Parameter Type
29b1426218c6b91e5cbe78430c7f09ed3dabe79b26,Change Parameter Type
278c430fb7747142f6867731364fca4a0190abf10,Extract Variable
29b1426218c6b91e5cbe78430c7f09ed3dabe79b29,Change Parameter Type
