lable,refatory
6cff2192ea7f324df0b4c84e5a41ebe4fdbc853211,Change Parameter Type
d676b51bcbffd9e049835bc6f95248c0e57a8bf29,Extract Method
3d2010cb946dc689c6e886273eeb5b5f41f2cd3f2,Add Method Annotation
3d2010cb946dc689c6e886273eeb5b5f41f2cd3f4,Remove Method Annotation
30f4d38ef59fc476453f39edf2eb3a4068213b970,Modify Parameter Annotation
3d2010cb946dc689c6e886273eeb5b5f41f2cd3f3,Remove Method Annotation
8f11ddd86b99eb5cb4de9d31d88d4d36e7831a121,Change Return Type
c2f6f5d4fb3f7074b375563adf40fd5ad8dd051d1,Extract Method
8f11ddd86b99eb5cb4de9d31d88d4d36e7831a122,Change Parameter Type
8f11ddd86b99eb5cb4de9d31d88d4d36e7831a125,Change Parameter Type
8f11ddd86b99eb5cb4de9d31d88d4d36e7831a124,Change Return Type
dee2df3224ed13ef197c6c782b348684cde538ff6,Extract Variable
aaf25d95bbb8fd33d0c9b5ade93df500d25765c915,Change Attribute Access Modifier
aaf25d95bbb8fd33d0c9b5ade93df500d25765c913,Change Attribute Access Modifier
aaf25d95bbb8fd33d0c9b5ade93df500d25765c914,Change Attribute Access Modifier
c1660d386b624c040c313af91539cc50c01d5f5925,Inline Variable
aaf25d95bbb8fd33d0c9b5ade93df500d25765c912,Change Attribute Access Modifier
a1ca3be94861bd45b814204f366f89040b4d38ed2,Change Return Type
c4f9762fc2561cb9dcfc5cae9b28e85a766b0a4b2,Change Variable Type
9fc525f9fb32f9990366ae97b3260cb4ff2b490e0,Modify Method Annotation
a1ca3be94861bd45b814204f366f89040b4d38ed1,Change Variable Type
19f8e9522aaeb3272fb57dcc4120adfbe412520c11,Change Variable Type
19f8e9522aaeb3272fb57dcc4120adfbe412520c12,Change Variable Type
19f8e9522aaeb3272fb57dcc4120adfbe412520c10,Extract Method
44cbe4cc6d40f7f8d2df77d03d0cbb1445bdbe1031,Extract Method
19f8e9522aaeb3272fb57dcc4120adfbe412520c13,Rename Variable
19f8e9522aaeb3272fb57dcc4120adfbe412520c14,Change Variable Type
1d63271e7cc4520066cfb36540f8ff7776b219781,Modify Method Annotation
0f72c69eddbc7c8bb122effda47b2a10777f17c61,Modify Method Annotation
