lable,refatory
85aa6a16eb00bcb87a0efbabb2b38d6ddd0fb95e0,Change Attribute Access Modifier
6967812b778f4279de8c30bc4ac84c65ef7a41ac0,Add Attribute Modifier
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909813,Change Variable Type
85aa6a16eb00bcb87a0efbabb2b38d6ddd0fb95e1,Change Attribute Access Modifier
301bca408e79dbb80666b9b33be3fea3597faa8f2,Change Return Type
9f4adfcfda041d5f291823913e0052c061bd5d991,Add Variable Modifier
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909838,Change Variable Type
9f4adfcfda041d5f291823913e0052c061bd5d992,Add Variable Modifier
29a82fd3754bd156e4666b7fa1c829c2e03d02804,Rename Parameter
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909850,Change Variable Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909852,Change Variable Type
4e57936100384181a2267e6a20591cea724b59440,Extract Variable
7ec6cb791a3123e6cef3b3a5e0047e2dd5f390989,Change Variable Type
659ee9b337944a461bef400aedbe5f71a5abccf22,Extract Method
baffa1d80eb579ab9bf0f6fd133b1c8b8c21e3890,Extract Variable
5e5e716d565681532eef7a501e0fa1096dfc672910,Change Variable Type
b4e9d426c65a8eedf35e150219a2652d11532ca40,Extract Variable
301bca408e79dbb80666b9b33be3fea3597faa8f9,Change Return Type
309894668598b85b39926681b0510b2fa5aaa47a1,Replace Attribute With Variable
c29d8a5a672770bab08f675269963f73e2c5c84d0,Extract Variable
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909865,Remove Method Annotation
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909843,Change Variable Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909844,Change Variable Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909845,Change Variable Type
301bca408e79dbb80666b9b33be3fea3597faa8f11,Change Return Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909846,Change Variable Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909825,Change Variable Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909847,Change Variable Type
43f3b6c8503670467a6320ea63760259666124110,Extract Variable
25ad5fcfa9fc57f99e2992bda6ab3f41639267aa0,Extract Variable
e5e744ef35eacb97e9c74453cb10845a601010e02,Change Variable Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f390987,Change Variable Type
301bca408e79dbb80666b9b33be3fea3597faa8f10,Change Parameter Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909841,Change Variable Type
7ec6cb791a3123e6cef3b3a5e0047e2dd5f3909842,Change Variable Type
76f025946868967025962496c922369679420f690,Extract Method
35be1c4314150edb439d3b2d072c2107a3acb8df2,Extract Method
