time,File
200511,10
200512,65
200601,61
200602,18
200603,4
200606,69
200607,96
200608,812
200609,119
200610,10
200611,14
200612,10
200701,8
200702,424
200703,956
200704,250
200705,271
200706,114
200707,5
200708,225
200709,117
200710,150
200711,85
200712,4
200801,140
200802,45
200803,1635
200804,28
200805,26
200806,0
200807,14
200808,3
200809,3
200810,89
200811,14
200812,34
200901,0
200902,24
200903,129
200905,8
200906,3
200907,10
200908,13
200909,0
200910,217
200911,95
200912,55
201001,43
201002,2
201003,31
201004,0
201005,1
201006,0
201007,1
201008,0
201009,46
201010,1
201011,11
201012,28
201101,0
201103,2
201104,3
201105,59
201106,87
201108,21
201109,526
201110,49
201111,27
201112,22
201201,17
201202,11
201203,54
201204,12
201205,33
201206,1
201207,51
201208,24
201209,59
201210,334
201211,3
201212,89
201301,2
201302,3
201303,9
201304,0
201305,10
201306,25
201311,8
201312,9
201401,1
201402,0
201403,15
201404,74
201405,1
201407,19
201408,0
201409,0
201410,0
201411,7
201412,4
201501,1
201502,1
201503,0
201507,0
201510,5
201609,0
201610,13
201704,2
201705,6
201706,12
201707,25
201708,0
201709,59
201710,21
201711,153
201803,61
201804,58
201810,17
201811,4
201902,175
201905,556
201906,10
201907,134
201908,102
201909,46
201910,72
201911,8
202002,557
202003,78
202004,0
202005,23
202006,134
202007,0
202009,0
202011,11
202012,1
202101,83
202105,16
202106,24
202107,38
202108,37
202112,202
202201,273
202202,46
202204,13
