time,File
200909,73
200910,34
200911,0
200912,21
201001,497
201002,131
201003,433
201004,205
201005,58
201006,54
201007,27
201008,66
201009,153
201010,21
201011,34
201012,60
201101,3
201102,22
201103,160
201104,71
201105,92
201106,98
201107,17
201108,38
201109,32
201110,301
201111,149
201112,42
201201,22
201202,86
201203,30
201204,46
201205,34
201206,22
201207,19
201208,17
201209,12
201210,30
201211,172
201212,15
201301,1
201302,2
201303,6
201304,2
201305,14
201306,6
201307,0
201308,1
201310,5
201312,3
201401,0
201402,0
201403,5
201404,12
201405,85
201406,99
201407,4
201408,0
201409,31
201410,55
201411,20
201412,28
201501,3
201502,12
201503,1
201504,11
201505,53
201506,38
201507,87
201508,103
201509,74
201510,7
201511,68
201512,30
201601,33
201602,15
201603,38
201604,41
201605,10
201606,20
201607,42
201608,40
201609,42
201610,185
201611,10
201612,31
201701,265
201702,39
201703,23
201704,39
201705,152
201706,232
201708,45
201709,92
201710,46
201711,14
201712,5
201801,46
201802,123
201803,41
201804,200
201805,2
201806,75
201807,1
201808,14
201809,132
201810,9
201811,8
201812,18
201901,8
201902,1
201903,12
201911,1
201912,2
202003,1
202004,13
202005,20
202102,1
202201,2
202204,1
202308,1
