time,File
200010,157
200011,346
200012,89
200101,229
200102,50
200103,39
200104,94
200105,54
200106,4
200107,40
200108,12
200109,19
200110,34
200111,14
200112,7
200201,5
200202,12
200203,23
200204,19
200205,62
200206,20
200207,7
200208,2
200209,7
200210,40
200211,22
200212,1
200302,15
200303,49
200304,114
200305,8
200306,14
200307,37
200308,9
200309,7
200310,4
200311,5
200312,6
200401,0
200402,13
200406,5
200408,6
200409,18
200410,25
200411,52
200412,7
200501,15
200502,58
200503,0
200504,0
200505,0
200506,0
200507,201
200508,2
200509,38
200510,3
200511,7
200601,0
200602,27
200603,80
200604,2
200606,2
200607,119
200608,36
200609,53
200611,264
200612,192
200701,138
200702,66
200703,10
200704,12
200708,1
200709,37
200710,10
200711,141
200712,18
200804,1
200805,1
200806,16
200807,10
200808,0
200810,1
200811,6
200812,8
200901,1
200902,2
200904,2
200907,4
200908,7
201010,0
201101,1
201102,5
201103,2
201106,0
201205,1
201208,1
201401,3
201402,2
201407,1
201408,30
201409,4
201412,361
201512,3141
201602,45
201708,368
201709,43
201710,10
201804,6
201805,36
201901,49
202208,5
202210,4
202211,4
