time,File
200701,2
200702,50
200703,8
200704,6
200705,2
200706,21
200707,9
200708,37
200709,90
200710,29
200711,18
200712,59
200801,290
200802,20
200803,7
200804,4
200805,14
200806,8
200807,4
200808,2
200809,0
200810,1
200811,9
200812,32
200901,2
200902,0
200903,1
200904,8
200905,5
200906,6
200907,1
200908,2
200909,5
200910,16
200911,43
200912,66
201001,22
201002,77
201003,52
201004,19
201005,16
201006,115
201007,4
201008,92
201009,5
201010,7
201011,3
201012,1
201101,16
201102,5
201103,1
201104,9
201105,99
201106,2
201107,10
201108,0
201109,18
201110,2
201111,10
201112,34
201201,7
201202,4
201203,9
201204,2
201205,4
201206,26
201207,27
201208,1
201209,5
201210,10
201211,32
201212,101
201301,1
201302,18
201303,11
201304,4
201305,20
201306,5
201307,33
201308,30
201309,4
201310,2
201311,21
201312,5
201401,0
201402,2
201403,97
201404,16
201405,7
201408,20
201409,2
201410,102
201411,245
201412,10
201501,1
201502,0
201504,31
201505,26
201506,1
201509,14
201510,14
201511,4
201512,8
201601,2
201602,24
201603,10
201604,0
201605,4
201606,1
201607,0
201608,8
201609,47
201610,23
201611,35
201612,64
201701,27
201702,58
201703,51
201704,62
201705,51
201706,10
201707,19
201708,45
201709,25
201710,3
201711,38
201712,7
201801,20
201802,6
201803,27
201804,8
201805,6
201806,3
201807,13
201808,6
201809,19
201810,16
201811,14
201812,170
201901,18
201902,27
201903,15
201904,30
201905,12
201906,5
201907,3
201908,63
201909,17
201910,0
201911,1
201912,7
202001,4
202002,17
202003,1
202004,6
202005,22
202006,14
202007,7
202008,13
202009,8
202010,1
202011,6
202102,4
202103,4
202104,0
202105,12
202106,0
202108,2
202109,1
202111,1
202112,0
202201,0
202202,1
202204,0
202205,4
202206,0
202207,170
202208,6
202209,4
202210,15
202211,19
202212,41
202301,13
202302,13
202303,16
202304,1
202307,2
202308,4
202309,0
202310,0
202311,135
202312,5
202401,6
202402,212
202403,4
