time,File
200201,0
200206,0
200207,9
200211,2
200212,2
200305,0
200307,2
200308,0
200309,0
200310,2
200311,1
200312,5
200403,0
200404,0
200406,0
200407,0
200409,2
200410,5
200411,0
200412,0
200502,0
200504,0
200506,1
200508,0
200509,0
200510,0
200601,0
200603,1
200606,1
200607,1
200608,0
200609,0
200610,1
200612,1
200702,0
200703,1
200705,0
200707,4
200710,1
200711,0
200712,2
200801,7
200802,3
200803,0
200804,0
200805,26
200811,2
200812,7
200901,20
200902,1
200905,0
200908,37
201001,14
201003,9
201004,3
201008,1
201009,9
201010,44
201012,0
201103,0
201104,0
201105,0
201107,0
201108,0
201109,0
201110,0
201201,0
201202,0
201203,0
201204,0
201205,0
201206,0
201208,0
201209,0
201210,0
201211,0
201212,7
201302,0
201304,0
201305,0
201306,0
201307,0
201310,0
201401,0
201404,0
201410,0
201412,1
201504,0
201505,0
201506,1
201508,0
201509,0
201511,0
201512,2
201604,0
201605,0
201606,2
201609,0
201611,3
201704,0
201705,0
201706,0
201709,8
201710,0
201711,0
201801,3
201803,0
201806,0
201807,0
201902,0
201904,1
201905,0
201907,0
201908,0
201909,0
201910,20
201911,1
201912,0
202004,1
202005,3
202006,0
202007,2
202008,13
202009,0
202010,12
202011,0
202012,6
202101,24
202102,7
202105,14
202106,1
202107,14
202108,0
202109,38
202110,6
202111,3
202112,0
202201,0
202202,1
202203,0
202204,9
202205,4
202206,37
202207,44
202208,3
202209,12
202210,1
202301,6
202304,18
202305,40
202306,18
202307,9
202308,7
202309,9
202310,39
202311,37
202312,51
202401,45
202402,7
202403,2
