time,File
200204,26
200205,8
200208,20
200209,0
200211,0
200301,11
200304,0
200305,1
200308,0
200312,1
200401,11
200402,0
200404,8
200409,1
200412,3
200501,16
200502,1
200504,2
200601,0
200608,66
200609,1
200611,0
200612,1
200802,0
200803,6
200804,3
200805,2
200808,0
200810,0
200902,6
200903,1
200904,5
200905,0
201001,2
201003,1
201004,0
201005,0
201007,0
201009,0
201010,0
201011,0
201102,3
201103,7
201104,0
201106,0
201108,0
201111,0
201201,0
201202,0
201203,14
201208,0
201209,0
201210,0
201211,0
201212,0
201301,1
201306,1
201307,0
201309,0
201312,0
201401,0
201402,1
201403,0
201404,3
201405,0
201407,0
201410,0
201411,0
201412,1
201501,5
201506,0
201508,0
201510,0
201601,0
201604,2
201606,0
201607,1
201610,1
201702,1
201703,1
201704,3
201810,0
201812,0
201905,0
201911,0
202006,0
202009,67
202010,2
202011,1
202012,24
202101,2
202102,19
202107,1
202108,3
202110,0
202112,0
202201,0
202203,0
202207,0
202208,2
202210,2
202211,9
202301,3
202306,8
202307,7
202308,21
202309,57
202310,8
202311,13
202312,1
202401,3
202402,18
