time,File
201107,48
201108,5
201109,2
201110,7
201111,14
201112,38
201201,1
201202,3
201203,2
201204,13
201205,6
201206,7
201207,13
201208,1
201209,14
201210,7
201211,12
201212,3
201301,5
201302,3
201303,110
201305,1
201306,3
201307,0
201309,1
201310,1
201311,2
201312,0
201401,0
201402,0
201403,0
201404,0
201405,64
201406,8
201407,1
201408,4
201409,0
201410,2
201411,0
201412,1
201501,0
201502,1
201503,0
201504,1
201505,6
201506,5
201507,0
201508,11
201509,9
201510,2
201511,1
201512,0
201601,2
201602,6
201603,3
201604,0
201605,5
201606,0
201607,0
201609,0
201610,1
201611,0
201612,2
201701,63
201702,1
201703,0
201704,1
201705,2
201707,23
201711,0
201801,0
201802,0
201804,0
201806,0
201808,0
201809,0
201810,3
201811,0
201812,1
201901,0
201902,1
201908,6
201909,1
202001,0
202002,2
202003,14
202004,11
202005,1
202006,3
202010,34
202102,1
202103,1
202105,0
202107,2
202108,1
202110,1
202202,1
202203,4
202205,1
202206,1
202207,2
202208,1
202209,2
202302,8
202303,1
202304,2
202305,2
202306,1
202307,1
202308,6
202309,2
202310,4
202312,1
202402,4
