time,File
201112,4
201201,67
201202,83
201203,69
201204,81
201205,7
201206,36
201207,101
201208,8
201209,2
201210,16
201211,26
201212,26
201301,5
201302,24
201303,25
201304,47
201305,9
201306,27
201307,3
201308,2
201309,1
201310,7
201311,19
201312,51
201401,18
201402,22
201403,40
201404,13
201405,26
201406,27
201407,3
201408,1
201409,1
201410,14
201411,5
201412,5
201501,0
201502,54
201503,23
201504,1
201505,57
201506,4
201507,4
201508,0
201509,3
201510,12
201511,1
201512,18
201601,7
201602,2
201603,38
201604,5
201605,5
201606,9
201607,10
201610,4
201611,4
201612,0
201704,6
201705,6
201706,31
201708,1
201711,9
201712,2
201801,9
201802,13
201803,23
201804,10
201806,3
201809,0
201902,2
201905,0
201906,0
201907,4
201908,1
202006,2
202008,4
202102,0
202103,7
202109,1126
202112,19
202204,7
202207,2
202302,137
202303,59
202310,3
202311,59
202401,7
