time,File
200412,14
200501,1
200502,8
200503,3
200504,3
200505,10
200506,3
200507,2
200508,20
200509,0
200510,1
200511,3
200512,4
200601,25
200602,0
200603,4
200604,10
200605,1
200606,0
200607,3
200608,3
200609,4
200610,110
200611,35
200612,60
200701,21
200702,3
200703,45
200704,38
200705,22
200706,8
200707,17
200708,4
200709,14
200710,12
200711,8
200712,21
200801,20
200802,15
200803,20
200804,4
200805,22
200806,25
200807,1
200808,7
200809,3
200810,9
200811,8
200812,12
200901,33
200902,56
200903,29
200904,10
200905,15
200906,3
200907,0
200908,2
200909,1
200910,5
200911,16
200912,11
201001,14
201002,6
201003,1
201004,6
201005,5
201006,5
201007,9
201008,11
201009,6
201010,37
201011,6
201012,7
201101,26
201102,2
201103,1
201104,0
201105,2
201106,0
201107,2
201108,0
201109,0
201110,0
201111,1
201112,0
201203,0
201204,0
201205,2
201209,2
201210,0
201211,0
201212,2
201301,8
201302,0
201303,6
201304,2
201305,3
201306,0
201307,127
201308,10
201309,1
201310,4
201311,11
201312,4
201401,5
201402,3
201403,11
201404,8
201405,1
201406,0
201407,1
201408,1
201410,5
201411,0
201412,5
201502,0
201503,1
201504,28
201506,0
201507,11
201508,1
201509,4
201511,3
201512,2
201601,1
201602,3
201603,1
201604,1
201606,2
201608,2
201609,17
201610,0
201611,0
201612,1
201802,0
201803,13
201804,14
201805,1
201808,0
201810,0
201905,1
201910,12
202003,1
202010,24
202011,0
202012,0
202101,0
202109,5
202110,1
202112,1
202210,5
202211,1
202304,1
202307,5
202310,1
