time,File
200612,0
200702,0
200703,0
200706,0
200707,0
200708,10
200709,2
200710,6
200711,6
200712,2
200801,13
200802,16
200803,1
200804,3
200805,7
200806,1
200807,20
200808,26
200809,9
200810,1
200811,4
200812,1
200901,46
200902,42
200903,9
200904,1
200905,185
200906,7
200907,9
200908,22
200909,14
200910,1
200911,1
200912,1
201001,1
201002,7
201003,19
201004,3
201005,0
201006,2
201007,0
201008,9
201009,33
201010,11
201011,31
201012,20
201101,27
201102,224
201103,44
201104,62
201105,72
201106,0
201107,0
201108,8
201109,5
201110,14
201111,1
201112,74
201201,81
201202,1
201203,1
201204,3
201205,0
201206,1
201207,0
201208,0
201209,5
201210,1
201211,10
201212,35
201301,22
201302,158
201303,7
201304,3
201305,44
201306,11
201307,3
201308,40
201309,142
201310,18
201311,4
201312,7
201401,21
201402,1
201403,9
201404,4
201405,13
201406,4
201407,10
201408,4
201409,24
201410,0
201411,0
201412,0
201502,3
201503,28
201504,0
201505,0
201506,10
201507,0
201510,2
201602,20
201603,5
201604,1
201605,52
201606,16
201607,0
201608,15
201612,32
201701,15
201702,3
201704,1
201706,1
201707,3
201708,4
201803,29
201806,0
201807,2
201809,0
201903,79
201906,0
201909,1
201910,0
202003,1
202004,12
202006,22
202101,17
202102,1
202104,4
202301,14
