time,File
201111,23
201112,80
201201,97
201202,129
201203,127
201204,30
201205,82
201206,73
201207,16
201209,3
201210,28
201211,2
201212,11
201302,3
201303,12
201304,91
201305,6
201307,48
201308,14
201309,2
201310,0
201311,49
201312,13
201401,16
201402,13
201403,14
201404,9
201405,20
201406,3
201407,52
201408,42
201409,13
201410,41
201411,27
201412,28
201501,18
201502,7
201503,16
201504,18
201505,20
201506,10
201507,43
201508,58
201509,69
201510,43
201511,24
201512,32
201601,62
201602,41
201603,76
201604,86
201605,35
201606,40
201607,68
201608,55
201609,5
201610,11
201611,58
201612,27
201701,34
201702,12
201703,15
201708,7
201802,14
201804,1
