time,File
201111,6
201112,39
201201,41
201202,22
201203,14
201204,12
201205,24
201206,24
201207,12
201209,1
201210,13
201211,1
201212,2
201302,1
201303,5
201304,20
201305,1
201307,3
201308,1
201309,0
201310,0
201311,3
201312,1
201401,0
201402,1
201403,5
201404,0
201405,1
201406,0
201407,1
201408,12
201409,2
201410,9
201411,10
201412,9
201501,0
201502,1
201503,3
201504,4
201505,3
201506,3
201507,8
201508,4
201509,8
201510,4
201511,7
201512,5
201601,11
201602,11
201603,53
201604,16
201605,8
201606,24
201607,18
201608,21
201609,2
201610,3
201611,6
201612,8
201701,13
201702,6
201703,4
201708,1
201802,5
201804,1
