time,File
201003,9
201007,3
201104,0
201105,890
201106,0
201202,2
201203,0
201304,0
201305,40
201306,204
201307,5
201308,5
201309,13
201310,0
201311,0
201401,0
201402,1
201403,0
201404,1
201405,5
201406,7
201407,11
201408,28
201409,5
201410,9
201411,20
201412,31
201501,27
201502,0
201503,2
201504,0
201505,16
201506,6
201507,4
201508,46
201509,360
201510,9
201511,0
201512,56
201601,135
201602,3
201603,4
201604,1
201605,10
201606,2
201612,7
201701,15
201702,25
201703,16
201706,1
201707,6
201708,1
201709,11
201710,3
201802,4
201803,19
201806,0
201809,1
201811,3
201812,11
201901,7
201902,6
201903,7
201904,2
201905,8
201906,4
201907,0
201908,11
201909,0
201910,4
201911,7
201912,1
202001,240
202002,0
202006,4
202010,4
202011,3
202102,5
202206,1
202212,62
202301,20
202302,0
202312,2071
202401,5
202402,26
202403,2
