time,File
201012,2
201101,42
201102,11
201103,1
201104,0
201105,1
201106,4
201107,1
201108,0
201109,1
201110,2
201112,5
201201,1
201202,9
201203,3
201204,0
201206,5
201207,3
201208,1
201209,6
201210,211
201211,9
201212,9
201301,35
201302,10
201303,21
201305,10
201306,54
201307,50
201308,4
201309,1
201310,71
201311,56
201312,9
201401,65
201402,62
201403,46
201404,6
201405,8
201406,38
201407,28
201408,32
201409,8
201410,6
201411,32
201412,13
201501,61
201502,2
201503,25
201504,3
201505,0
201506,18
201507,1
201508,0
201509,40
201510,7
201511,49
201512,23
201601,35
201602,49
201603,67
201604,43
201605,53
201606,2
201607,440
201608,13
201609,14
201610,124
201611,71
201612,13
201701,15
201702,18
201703,66
201704,1
201705,46
201708,2
201710,0
201711,1
201801,6
201802,0
201803,2
201804,6
201805,4
201806,0
201807,2
201808,1
201809,1
201810,1
201811,0
201812,0
201901,1
201902,3
201903,11
201904,13
201905,10
201906,2
201909,9
201910,1
201911,0
201912,9
202001,3
202002,1
202003,1
202005,1
202007,0
202008,0
202009,4
202010,1
202011,20
202101,2
202311,1
