time,File
201601,207
201602,135
201603,67
201604,208
201605,888
201606,56
201607,12
201608,53
201609,56
201610,18
201611,113
201612,69
201701,35
201702,34
201703,71
201704,79
201705,49
201706,64
201707,23
201708,7
201709,47
201710,7
201711,1
201712,4
201801,4
201802,24
201803,70
201804,11
201805,63
201806,21
201807,75
201808,0
201809,1
201810,10
201811,7
201812,2
201901,38
201902,15
201903,10
201904,4
201905,14
201906,17
201907,7
201908,13
201909,4
201910,6
201911,30
202001,10
202002,2
202003,0
202004,4
202008,248
202009,8
202010,26
202011,54
202012,0
202101,5
202102,0
202103,50
202104,13
202105,2
202106,14
202107,59
202108,26
202109,22
202110,82
202112,1
202201,1
202202,45
202203,37
202204,9
202207,9
202208,12
202209,34
202210,1
202212,0
202301,18
202302,5
202303,76
202304,11
202306,5
202307,23
202308,6
202309,8
202310,9
202311,62
202312,37
202401,279
202402,365
202403,113
