time,File
200506,2
200507,6
200508,0
200509,3
200510,7
200511,1
200512,5
200601,80
200602,7
200603,8
200604,28
200605,41
200606,7
200607,54
200608,107
200609,59
200610,3
200611,3
200612,5
200701,420
200702,0
200703,531
200704,5
200705,38
200706,28
200707,1
200708,2
200709,3
200710,6
200711,68
200712,29
200801,40
200802,10
200803,32
200804,28
200805,2
200806,6
200807,13
200808,9
200809,44
200810,1
200811,0
200901,5
200902,1
200903,2
200906,11
200909,0
200912,0
201001,2
201002,0
201004,0
201005,15
201006,1
201007,1
201008,0
201009,0
201010,17
201011,31
201012,5
201101,10
201102,1
201103,0
201104,1
201106,3
201108,12
201109,15
201111,2
201201,4
201202,1
201203,0
201204,3
201205,0
201207,50
201208,30
201210,1
201211,0
201212,4
201303,0
201306,1
201307,6
201309,6
201312,11
201401,28
201404,2
201405,3
201407,0
201410,1
201412,1
201501,27
201502,0
201508,3
201509,1
201611,2
201704,8
201705,71
201706,95
201707,148
201708,25
201709,38
201710,3
201711,105
201712,73
201801,1
201802,10
201803,20
201806,5
201808,51
201905,1
201909,11
202103,3
202111,4
202211,19
202303,1
202304,5
202308,11
202309,3
