time,File
201210,33
201211,329
201212,363
201301,9
201302,121
201303,96
201304,9
201305,10
201306,43
201307,34
201308,47
201309,152
201310,0
201311,14
201312,10
201401,29
201402,5
201403,22
201404,11
201405,1
201406,3
201407,5
201408,32
201409,13
201410,1
201411,17
201501,3
201502,87
201503,35
201504,8
201505,7
201506,14
201507,24
201508,2
201509,29
201510,12
201511,39
201512,3
201601,26
201602,42
201603,87
201604,11
201605,2
201606,9
201609,3
201610,0
201611,32
201612,9
201701,14
201702,80
201704,23
201705,23
201706,24
201707,3
201708,613
201709,122
201710,44
201711,75
201712,46
201801,16
201802,40
201803,13
201804,9
201805,9
201806,0
201807,0
201809,12
201810,40
201811,90
201812,323
201901,10
201902,10
201903,23
201904,32
201905,4
201906,7
201907,13
201908,13
201909,8
201910,80
201911,104
201912,33
202001,57
202002,85
202003,26
202004,31
202005,0
202006,19
202007,52
202008,28
202009,8
202010,4
202011,10
202012,21
202101,9
202102,0
202103,38
202104,10
202105,12
202106,3
202107,21
202108,5
202109,1
202110,0
202111,91
202201,21
202202,3
202203,19
202204,20
202205,19
202206,29
202207,1
202208,14
202209,7
202210,45
202211,24
202212,31
202301,7
202302,5
202303,12
202304,8
202305,1
202306,10
202307,0
202308,4
202309,17
202310,95
202311,13
202312,7
202401,4
