time,File
201210,13
201211,70
201212,98
201301,6
201302,19
201303,6
201304,1
201305,1
201306,2
201307,1
201308,9
201309,23
201310,0
201311,0
201312,1
201401,2
201402,1
201403,7
201404,5
201405,0
201406,0
201407,0
201408,3
201409,2
201410,0
201411,0
201501,1
201502,1
201503,4
201504,7
201505,0
201506,1
201507,0
201508,2
201509,5
201510,1
201511,10
201512,2
201601,5
201602,4
201603,8
201604,3
201605,1
201606,2
201609,2
201610,0
201611,16
201612,2
201701,1
201702,35
201704,12
201705,7
201706,6
201707,2
201708,277
201709,20
201710,21
201711,19
201712,23
201801,7
201802,0
201803,2
201804,1
201805,1
201806,0
201807,0
201809,0
201810,15
201811,47
201812,73
201901,5
201902,6
201903,2
201904,1
201905,2
201906,3
201907,3
201908,7
201909,3
201910,11
201911,13
201912,10
202001,5
202002,0
202003,15
202004,11
202005,0
202006,0
202007,3
202008,0
202009,5
202010,2
202011,4
202012,4
202101,4
202102,0
202103,5
202104,1
202105,4
202106,2
202107,1
202108,4
202109,1
202110,0
202111,13
202201,10
202202,1
202203,1
202204,8
202205,3
202206,4
202207,0
202208,5
202209,1
202210,2
202211,5
202212,9
202301,3
202302,3
202303,3
202304,5
202305,1
202306,4
202307,0
202308,1
202309,1
202310,46
202311,2
202312,2
202401,3
