time,File
200601,49
200602,3
200603,6
200604,8
200605,7
200606,5
200607,0
200608,2
200609,86
200610,3
200611,2
200612,2
200701,1
200703,3
200704,26
200705,0
200706,5
200707,12
200708,32
200709,152
200710,46
200711,110
200712,49
200801,7
200802,3
200803,11
200804,3
200805,3
200806,204
200807,2
200808,5
200809,3
200810,4
200811,34
200812,0
200901,0
200903,4
200904,93
200905,1
200906,5
200907,1
200908,0
200911,0
200912,1
201001,50
201002,14
201004,1
201005,82
201006,2
201009,5
201108,2
201109,3
201110,6
201111,3
201112,13
201202,1
201205,11
201207,1
201209,2
201211,6
201212,10
201301,31
201303,18
201304,4
201305,161
201306,37
201307,37
201310,7
201312,4
201405,59
201410,3
201412,15
201503,24
201504,56
