time,File
200601,12
200602,2
200603,2
200604,2
200605,6
200606,5
200607,0
200608,1
200609,14
200610,2
200611,1
200612,1
200701,0
200703,2
200704,19
200705,0
200706,2
200707,6
200708,17
200709,46
200710,13
200711,55
200712,12
200801,5
200802,3
200803,2
200804,3
200805,2
200806,109
200807,1
200808,5
200809,0
200810,4
200811,6
200812,0
200901,0
200903,2
200904,27
200905,1
200906,5
200907,1
200908,0
200911,0
200912,1
201001,42
201002,7
201004,1
201005,3
201006,1
201009,2
201108,1
201109,1
201110,0
201111,1
201112,2
201202,0
201205,8
201207,0
201209,1
201211,2
201212,2
201301,13
201303,9
201304,4
201305,56
201306,15
201307,22
201310,3
201312,2
201405,3
201410,2
201412,1
201503,4
201504,41
