time,FileRBR
201401,246
201402,106
201403,59
201404,4
201405,6
201406,6
201407,37
201408,13
201409,10
201410,40
201411,11
201412,75
201501,28
201502,45
201503,26
201504,41
201505,5
201506,20
201507,28
201508,11
201509,11
201510,4
201511,29
201512,9
201601,14
201602,9
201603,2
201604,16
201605,9
201606,24
201607,5
201608,6
201609,21
201610,12
201611,3
201612,22
201701,3
201702,18
201703,9
201704,0
201705,7
201706,22
201707,4
201708,29
201709,24
201710,2
201711,39
201712,5
201801,0
201802,13
201803,15
201804,28
201805,16
201806,1
201807,13
201808,14
201809,10
201810,9
201811,3
201812,6
201901,40
201902,13
201903,12
201904,1
201905,7
201906,31
201907,11
201908,3
201909,8
201910,12
201911,2
201912,5
202001,4
202002,14
202003,9
202004,17
202005,5
202006,3
202007,11
202008,9
202009,202
202010,13
202011,32
202012,76
202101,29
202102,3
202103,30
202104,41
202105,67
202106,11
202107,16
202108,27
202109,227
202110,23
202111,19
202112,5
202201,14
202202,23
202203,7
202204,3
202205,17
202206,1
202207,7
202208,48
202209,102
202210,0
202211,23
202212,7
202301,2
202302,18
202303,39
202304,47
202305,17
202306,4
202307,26
202308,5
202309,48
202310,20
202311,82
202312,1294
202401,2
202402,201
202403,48
