time,FileRBR
201408,23
201409,72
201410,35
201411,41
201412,190
201501,109
201502,66
201503,184
201504,48
201505,37
201506,18
201507,8
201508,11
201509,59
201510,25
201511,7
201512,13
201601,6
201602,6
201603,25
201604,74
201605,21
201606,11
201607,2
201608,10
201609,5
201610,4
201611,17
201612,0
201701,8
201702,31
201703,16
201704,9
201705,1
201706,11
201707,2
201708,5
201709,3
201710,6
201711,11
201712,8
201801,2
201802,23
201803,34
201804,22
201805,21
201806,5
201807,0
201808,5
201809,2
201810,32
201811,0
201812,16
201901,35
201902,19
201903,12
201904,28
201905,35
201906,2
201907,10
201908,7
201909,31
201910,6
201911,36
201912,5
202001,2
202002,9
202003,3
202004,13
202005,30
202006,4
202007,8
202008,1
202009,3
202010,12
202011,1
202012,19
202101,3
202102,2
202103,6
202104,3
202105,11
202106,7
202107,12
202108,5
202109,9
202110,0
202111,12
202112,47
202201,388
202202,24
202203,10
202204,5
202205,0
202206,9
202207,8
202208,7
202209,0
202210,29
202211,9
202212,8
202301,15
202302,5
202303,26
202304,3
202305,14
202306,31
202307,21
202308,244
202309,25
202310,74
202311,62
202312,33
202401,23
202402,3
202403,3
