time,refactFileRBR
201208,30
201209,12
201210,4
201211,10
201212,0
201302,0
201303,8
201304,23
201305,0
201307,1
201308,13
201309,48
201310,7
201311,1
201312,0
201401,0
201402,1
201403,7
201404,3
201405,7
201406,8
201407,4
201408,8
201409,3
201410,5
201411,1
201412,2
201501,1
201502,1
201503,38
201504,29
201505,7
201506,1
201507,49
201508,4
201509,2
201510,7
201511,27
201512,2
201601,0
201603,0
201606,0
201608,0
201609,1
201610,1
201611,0
201612,17
201701,40
201702,17
201703,230
201704,738
201705,1
201706,42
201707,29
201708,20
201709,22
201710,0
201711,1
201712,3
201801,0
201802,6
201803,5
201804,4
201805,2
201806,3
201808,0
201901,2
201902,3
201903,1
201905,2
201908,2
202002,3
202005,2
202010,2
202105,3
202106,1
202203,3
202208,1
202209,1
202303,1
202305,1
202307,1
