time,FileRBR
201109,0
201110,21
201111,21
201112,25
201201,74
201202,11
201203,12
201204,20
201205,30
201206,15
201207,13
201208,26
201209,9
201210,59
201211,30
201212,79
201301,3
201302,33
201303,16
201304,322
201305,34
201306,0
201307,0
201308,6
201310,11
201311,0
201312,14
201401,18
201402,13
201403,9
201404,7
201405,60
201406,21
201407,35
201408,6
201409,13
201410,5
201411,4
201412,9
201501,14
201502,18
201503,98
201504,5
201505,16
201506,2
201507,6
201508,18
201509,13
201510,56
201511,292
201512,163
201601,803
201602,103
201603,97
201604,18
201605,11
201606,12
201607,38
201608,52
201609,94
201610,46
201611,36
201612,118
201701,188
201702,17
201703,26
201704,481
201705,146
201706,14
201707,126
201708,47
201709,10
201710,14
201711,9
201712,26
201801,25
201802,53
201803,44
201804,24
201805,6
201806,62
201807,78
201808,99
201809,16
201810,3
201811,14
201812,21
201901,0
201902,7
201903,7
201904,1
201905,6
201906,101
201907,532
201908,191
201909,3
201910,2
201911,15
201912,13
202001,2
202002,0
202003,65
202004,98
202005,8
202006,19
202007,5
202008,24
202009,8
202010,28
202011,2
202012,2
202101,18
202102,192
202103,5
202104,2
202105,1
202106,16
202107,0
202108,46
202109,2
202110,2
202203,0
202204,12
202206,237
202303,1
202304,9
202306,22
202308,62
202309,65
202310,4
202312,77
202401,126
