time,FileRBR
200603,3808
200604,6045
200605,1578
200606,22
200607,760
200608,77
200609,172
200610,75
200611,300
200612,25
200701,37
200702,16
200703,42
200704,32
200705,28
200706,21
200707,9
200708,15
200709,11
200710,12
200711,25
200712,4
200801,9
200802,0
200803,0
200804,12
200805,3
200806,16
200807,10
200808,0
200811,4
200812,14
200901,0
200902,7
200903,5
200904,26
200905,3
200906,1
200907,3
200908,0
200909,1
200910,0
200911,8
201001,0
201003,107
201004,1
201005,2
201006,0
201007,2
201009,1
201010,0
201011,0
201101,1
201102,4
201103,9
201104,0
201105,1
201106,19
201107,4
201108,7
201109,5
201110,0
201111,0
201112,2
201201,2
201202,0
201203,14
201204,12
201205,3
201206,5
201207,3
201208,6
201209,11
201210,203
201211,7
201212,7
201301,34
201302,2
201303,26
201304,3
201305,11
201306,1
201307,14
201308,0
201309,1
201310,39
201311,18
201312,3
201401,5
201402,2
201403,0
201404,1
201405,3
201406,2
201407,9
201408,7
201409,5
201410,3
201411,2
201412,0
201501,1
201502,2
201503,2
201504,6
201505,59
201506,415
201507,97
201508,0
201509,14
201510,3
201511,20
201512,0
201601,34
201602,0
201603,0
201604,0
201605,1
201606,0
201607,1
201608,0
201609,2
201610,1
201611,12
201612,6
201701,4
201702,0
201703,27
201704,19
201705,5
201706,2
201707,6
201708,14
201709,8
201710,230
201711,18
201712,1
201801,24
201802,3
201803,6
201805,13
201808,2
201809,38
201810,2
201811,24
201812,31
201901,8
201902,2
201904,1
201906,0
201910,0
201912,115
202001,1
202002,17
202003,68
202004,74
202005,2
202007,2
202008,35
202011,78
202012,36
202101,51
202105,2
202106,10
202107,27
202109,22
202110,87
202111,30
202201,13
202202,17
202203,1
202205,40
202206,3
202207,5
202208,5
202209,32
202210,55
202211,88
202212,38
202301,16
202302,2
202303,29
202304,74
202305,15
202306,10
202307,504
202308,31
202309,17
202310,11
202311,14
202312,27
202401,69
202402,11
