time,refactFileRBR
201304,11
201305,16
201306,3
201307,10
201308,10
201309,103
201310,6
201311,1
201312,5
201401,1
201402,5
201403,9
201404,6
201405,4
201406,4
201407,10
201408,94
201409,1
201410,9
201411,7
201412,14
201501,4
201502,0
201503,16
201504,2
201505,11
201506,0
201507,0
201508,42
201509,2
201510,19
201511,8
201512,3
201601,7
201602,7
201603,4
201604,9
201605,3
201606,2
201607,2
201608,3
201609,6
201610,6
201611,2
201612,7
201701,0
201702,1
201703,0
201704,15
201705,16
201706,3
201707,2
201708,4
201709,0
201710,1
201801,1
201802,0
201803,1
201804,0
201805,14
201806,4
201807,1
201808,0
201809,0
201810,0
201811,1
201812,0
201901,1
201902,0
201903,1
201904,0
201905,0
201908,0
201910,3
201911,0
201912,3
202001,0
202002,2
202003,0
202004,1
202005,5
202006,2
202007,0
202008,4
202009,1
202010,1
202011,3
202012,0
202101,1
202104,3
202105,1
202106,2
202107,0
202108,4
202110,0
202111,2
202201,4
202202,27
202203,0
202204,1
202205,0
202206,3
202208,0
202209,3
202210,1
202211,62
202302,3
202303,0
202306,14
202307,1
202308,5
202309,1
202310,2
202311,1
202312,4
202401,2
202402,2
