time,refactFileRBR
201404,2
201405,1
201406,12
201407,4
201408,23
201409,9
201410,40
201411,2
201412,50
201501,10
201502,5
201503,12
201504,19
201505,5
201506,5
201507,3
201508,5
201509,6
201510,11
201511,72
201602,0
201604,0
201606,0
201607,0
201608,6
201609,0
201611,0
201612,3
201701,0
201702,0
201703,1
201705,0
201706,4
201707,2
201708,6
201709,2
201710,1
201711,3
201712,0
201801,3
201802,9
201803,10
201804,0
201805,0
201806,3
201809,5
201810,2
201811,1
201812,16
201901,0
201904,2
201905,0
201906,1
201907,0
201908,1
201909,8
201911,1
201912,1
202001,76
202002,26
202003,5
202004,82
202005,28
202006,31
202007,5
202008,2
202009,1
202010,0
202011,3
202012,0
202101,0
202102,0
202103,1
202104,30
202106,0
202107,0
202108,0
202109,4
202110,0
202111,5
202112,1
202201,4
202202,2
202203,12
202204,8
202205,14
202206,3
202207,29
202208,13
202209,2
202210,0
202211,12
202212,4
202302,3
202303,18
202305,5
202308,2
