time,FileRBR
201507,17
201508,81
201509,98
201510,15
201511,0
201512,644
201602,171
201603,437
201604,9
201605,70
201606,435
201607,27
201608,149
201609,71
201610,43
201611,106
201612,82
201701,227
201702,600
201704,1
201705,300
201706,154
201707,17
201708,87
201709,43
201710,90
201711,47
201712,73
201801,3
201802,10
201803,11
201804,18
201805,213
201806,2292
201807,49
201808,18
201809,22
201810,309
201811,111
201812,26
201901,17
201902,5
201903,3
201904,77
201905,14
201906,190
201907,16
201908,50
201909,10
201910,31
201911,25
201912,25
202001,4
202002,561
202003,27
202004,37
202005,24
202006,104
202007,14
202008,16
202009,50
202010,62
202011,20
202012,44
202302,1
