time,refactFileRBR
200409,0
200410,3
200411,18
200412,22
200501,63
200502,49
200503,28
200504,10
200505,9
200506,21
200507,20
200508,14
200509,2
200510,6
200511,8
200512,40
200601,38
200602,91
200603,13
200604,11
200605,155
200606,161
200607,94
200608,63
200609,113
200610,88
200611,40
200612,226
200701,72
200702,64
200703,251
200704,974
200705,15
200706,60
200707,46
200708,22
200709,9
200710,13
200711,17
200712,14
200801,4
200802,5
200803,11
200804,258
200805,40
200806,43
200807,4
200808,1
200809,22
200810,11
200811,1
200812,3
200901,3
200902,1
200903,1
200904,50
200905,0
200906,4
200907,1
200908,0
200909,24
200910,12
200911,9
200912,65
201001,62
201002,15
201003,56
201004,0
201005,2
201006,0
201007,23
201008,16
201009,23
201010,21
201011,81
201012,106
201101,43
201102,5
201103,4
201104,26
201105,10
201106,15
201107,7
201108,10
201109,5
201110,13
201111,103
201112,20
201201,22
201202,8
201203,30
201204,4
201205,18
201206,11
201207,88
201208,11
201209,6
201210,12
201211,5
201212,9
201301,2
201302,9
201303,3
201304,2
201305,33
201306,14
201307,11
201308,0
201309,5
201310,0
201311,30
201312,5
201401,13
201402,14
201403,32
201404,0
201405,6
201406,2
201407,5
201408,17
201409,9
201410,9
201411,3
201412,1
201501,0
201502,3
201503,10
201504,4
201505,3
201506,14
201507,3
201508,4
201509,0
201510,8
201511,4
201512,5
201601,0
201602,8
201603,57
201604,17
201605,1
201606,50
201607,5
201608,6
201609,1
201610,2
201611,48
201612,0
201701,8
201702,1
201703,9
201704,6
201705,3
201706,1
201707,0
201708,4
201709,2
201710,13
201711,4
201712,1
201801,3
201802,2
201803,0
201804,8
201805,2
201806,0
201807,23
201808,3
201809,542
201810,5
201811,8
201812,5
201901,2
201902,7
201903,16
201904,29
201905,19
201906,4
201907,1
201908,9
201909,1
201910,3
201911,0
201912,12
202001,5
202002,9
202003,21
202004,1
202005,4
202006,1
202007,0
202008,8
202009,3
202010,3
202011,0
202012,3
202103,1
202104,5
202105,4
202106,4
202107,147
202108,3
202109,7
202110,3
202111,12
202112,2
202201,3
202203,0
202204,8
202205,3
202206,2
202208,1
202209,0
202211,2
202301,1
202302,3
202303,0
202304,13
202305,7
202307,3
202308,3
202309,8
202310,18
202311,1
202312,10
202401,4
202402,2
202403,4
