time,refactFileRBR
201403,0
201407,0
201408,0
201409,3
201410,0
201501,0
201502,2
201610,0
201612,0
201701,15
201702,1
201703,12
201704,0
201705,0
201706,3
201707,37
201708,77
201709,22
201710,22
201711,8
201712,10
201801,4
201802,11
201803,2
201804,14
201805,3
201806,2
201807,29
201808,11
201809,6
201901,15
201902,8
201903,0
201906,2
201907,9
201908,0
201909,11
201910,0
202001,6
202003,2
202004,47
202005,3
202006,13
202008,4
202009,3
202012,3
202101,1
202102,3
202103,2
202105,4
202106,1
202107,1
202108,108
202109,1
202110,4
202111,1
202112,10
202202,1
202204,2
202207,2
202211,1
202301,34
202302,11
