time,FileRBR
200402,4
200403,20
200404,0
200405,15
200406,3
200407,8
200408,4
200410,16
200411,2
200412,0
200502,1
200503,2
200504,5
200505,0
200506,14
200507,0
200508,74
200509,32
200510,14
200511,6
200601,12
200602,11
200603,4
200605,2
200606,0
200607,0
200608,0
200609,1
200610,0
200611,1
200612,0
200703,0
200704,0
200707,1
200708,0
200709,0
200710,0
200711,0
200801,0
200804,5
200806,1
200809,11
200810,2
200812,2
200901,0
200902,2
200903,12
200904,19
200905,19
200906,9
200907,0
200908,1
200909,0
200910,0
201001,0
201005,1
201006,1
201008,6
201009,5
201010,8
201011,42
201012,213
201101,20
201102,13
201103,32
201104,26
201105,15
201106,4
201107,9
201108,8
201109,0
201110,0
201111,12
201112,4
201201,11
201203,5
201204,1
201205,82
201206,7
201207,2
201208,1533
201209,4
201210,177
201211,25
201212,83
201301,20
201302,143
201303,13
201304,39
201305,1
201306,3
201307,2
201308,10
201309,0
201310,0
201311,13
201312,5
201401,4
201402,0
201403,3
201404,0
201405,0
201406,0
201407,0
201408,1
201409,1
201411,1
201412,0
201501,1
201502,4
201503,7
201504,1
201505,7
201506,2
201507,0
201508,0
201509,9
201510,5
201511,0
201512,101
201601,70
201602,0
201603,0
201604,0
201605,3
201607,0
201609,1
201610,4
201611,8
201701,1
201702,15
201703,11
201704,4
201705,0
201708,5
201710,1
201711,0
201712,1
201801,1
201802,1
201804,3
201805,4
201806,0
201808,0
201810,0
201811,3
201812,1
201901,3
201902,11
201904,0
201905,0
201906,90
201907,0
201911,0
202001,3
202002,2
202003,3
202004,31
202005,3
202008,1
202009,2
202010,5
202012,10
202102,21
202104,11
202105,0
202108,3
202109,84
202203,87
202207,37
202211,4
202304,0
202308,2
202401,45
