time,refactFileRBR
200402,3
200403,17
200404,0
200405,0
200406,0
200407,0
200408,3
200410,0
200411,0
200412,0
200502,0
200503,1
200504,0
200505,0
200506,4
200507,0
200508,74
200509,4
200510,3
200511,1
200601,3
200602,5
200603,1
200605,1
200606,0
200607,0
200608,0
200609,0
200610,0
200611,0
200612,0
200703,0
200704,0
200707,0
200708,0
200709,0
200710,0
200711,0
200801,0
200804,0
200806,0
200809,2
200810,0
200812,1
200901,0
200902,1
200903,3
200904,0
200905,3
200906,0
200907,0
200908,0
200909,0
200910,0
201001,0
201005,0
201006,0
201008,1
201009,1
201010,1
201011,30
201012,13
201101,4
201102,2
201103,13
201104,26
201105,1
201106,0
201107,1
201108,1
201109,0
201110,0
201111,2
201112,3
201201,3
201203,2
201204,0
201205,27
201206,3
201207,1
201208,508
201209,0
201210,111
201211,7
201212,49
201301,7
201302,69
201303,3
201304,19
201305,0
201306,1
201307,0
201308,0
201309,0
201310,0
201311,0
201312,3
201401,1
201402,0
201403,0
201404,0
201405,0
201406,0
201407,0
201408,0
201409,0
201411,0
201412,0
201501,1
201502,1
201503,0
201504,0
201505,3
201506,0
201507,0
201508,0
201509,0
201510,1
201511,0
201512,18
201601,13
201602,0
201603,0
201604,0
201605,2
201607,0
201609,1
201610,1
201611,8
201701,1
201702,10
201703,6
201704,1
201705,0
201708,1
201710,1
201711,0
201712,0
201801,1
201802,0
201804,1
201805,0
201806,0
201808,0
201810,0
201811,2
201812,0
201901,1
201902,5
201904,0
201905,0
201906,11
201907,0
201911,0
202001,0
202002,1
202003,2
202004,13
202005,1
202008,1
202009,1
202010,1
202012,0
202102,9
202104,10
202105,0
202108,1
202109,0
202203,0
202207,14
202211,2
202304,0
202308,2
202401,6
