time,File
200511,0
200512,20
200601,3
200602,3
200603,1
200606,16
200607,27
200608,160
200609,55
200610,1
200611,7
200612,9
200701,5
200702,65
200703,30
200704,35
200705,34
200706,8
200707,0
200708,5
200709,26
200710,51
200711,26
200712,1
200801,3
200802,30
200803,28
200804,6
200805,2
200806,0
200807,2
200808,3
200809,1
200810,6
200811,5
200812,2
200901,0
200902,5
200903,103
200905,1
200906,0
200907,1
200908,2
200909,0
200910,8
200911,9
200912,5
201001,2
201002,1
201003,2
201004,0
201005,1
201006,0
201007,0
201008,0
201009,0
201010,0
201011,0
201012,6
201101,0
201103,1
201104,0
201105,24
201106,34
201108,6
201109,115
201110,19
201111,1
201112,9
201201,2
201202,4
201203,17
201204,4
201205,4
201206,1
201207,22
201208,13
201209,2
201210,4
201211,3
201212,2
201301,1
201302,0
201303,1
201304,0
201305,0
201306,4
201311,2
201312,1
201401,0
201402,0
201403,6
201404,60
201405,0
201407,3
201408,0
201409,0
201410,0
201411,0
201412,0
201501,0
201502,0
201503,0
201507,0
201510,1
201609,0
201610,1
201704,0
201705,3
201706,1
201707,2
201708,0
201709,24
201710,4
201711,15
201803,10
201804,30
201810,3
201811,2
201902,14
201905,5
201906,0
201907,18
201908,37
201909,21
201910,33
201911,0
202002,35
202003,34
202004,0
202005,9
202006,32
202007,0
202009,0
202011,10
202012,1
202101,20
202105,7
202106,5
202107,8
202108,15
202112,121
202201,85
202202,17
202204,2
