time,File
200010,10
200011,63
200012,20
200101,122
200102,25
200103,17
200104,5
200105,1
200106,1
200107,5
200108,6
200109,4
200110,8
200111,6
200112,2
200201,0
200202,2
200203,4
200204,3
200205,0
200206,1
200207,0
200208,0
200209,1
200210,0
200211,0
200212,0
200302,1
200303,0
200304,0
200305,0
200306,0
200307,6
200308,0
200309,2
200310,0
200311,0
200312,1
200401,0
200402,0
200406,1
200408,0
200409,2
200410,3
200411,4
200412,1
200501,0
200502,1
200503,0
200504,0
200505,0
200506,0
200507,2
200508,0
200509,6
200510,0
200511,0
200601,0
200602,4
200603,2
200604,1
200606,0
200607,20
200608,3
200609,0
200611,37
200612,15
200701,17
200702,23
200703,4
200704,1
200708,1
200709,14
200710,0
200711,6
200712,13
200804,1
200805,1
200806,1
200807,1
200808,0
200810,0
200811,1
200812,2
200901,1
200902,0
200904,0
200907,0
200908,3
201010,0
201101,1
201102,2
201103,0
201106,0
201205,1
201208,1
201401,0
201402,1
201407,1
201408,7
201409,3
201412,203
201512,2
201602,1
201708,2
201709,16
201710,9
201804,3
201805,24
201901,1
202208,2
202210,3
202211,1
