time,File
200701,1763
200702,107
200703,28
200704,66
200705,5
200706,48
200707,24
200708,124
200709,123
200710,76
200711,704
200712,118
200801,315
200802,27
200803,15
200804,12
200805,31
200806,17
200807,21
200808,3
200809,6
200810,17
200811,24
200812,59
200901,6
200902,1
200903,12
200904,35
200905,43
200906,37
200907,5
200908,9
200909,18
200910,48
200911,174
200912,281
201001,82
201002,117
201003,90
201004,59
201005,57
201006,227
201007,5
201008,501
201009,30
201010,13
201011,18
201012,3
201101,35
201102,8
201103,6
201104,64
201105,134
201106,6
201107,39
201108,4
201109,49
201110,4
201111,10
201112,85
201201,15
201202,25
201203,31
201204,17
201205,23
201206,27
201207,40
201208,2
201209,6
201210,17
201211,66
201212,109
201301,1
201302,71
201303,17
201304,4
201305,88
201306,56
201307,1995
201308,87
201309,9
201310,5
201311,3383
201312,11
201401,0
201402,5
201403,177
201404,43
201405,20
201408,43
201409,10
201410,110
201411,313
201412,43
201501,12
201502,7
201504,65
201505,43
201506,1
201509,65
201510,49
201511,5
201512,8
201601,2
201602,79
201603,18
201604,0
201605,15
201606,5
201607,0
201608,17
201609,94
201610,67
201611,57
201612,190
201701,234
201702,212
201703,186
201704,188
201705,105
201706,36
201707,92
201708,88
201709,33
201710,6
201711,98
201712,42
201801,83
201802,47
201803,138
201804,54
201805,14
201806,5
201807,22
201808,11
201809,39
201810,39
201811,57
201812,211
201901,89
201902,57
201903,20
201904,76
201905,30
201906,21
201907,45
201908,117
201909,29
201910,2
201911,1
201912,26
202001,6
202002,26
202003,1
202004,18
202005,42
202006,26
202007,31
202008,30
202009,28
202010,26
202011,10
202102,8
202103,13
202104,0
202105,22
202106,12
202108,12
202109,1
202111,4
202112,0
202201,0
202202,1
202204,9
202205,10
202206,5
202207,527
202208,11
202209,25
202210,31
202211,57
202212,85
202301,18
202302,29
202303,20
202304,14
202307,7
202308,13
202309,2
202310,3
202311,2523
202312,8
202401,10
202402,446
202403,21
