time,File
200204,0
200206,0
200207,0
200208,0
200210,0
200303,0
200304,5
200305,1
200306,2
200403,2
200410,7
200511,0
200512,1
200606,0
200608,15
200610,0
200611,8
200703,4
200704,0
200706,2
200709,2
200712,0
200802,6
200901,3
201007,8
201303,37
201304,1
201307,0
201308,0
201402,3
201608,0
201706,7
201710,1
201805,14
201812,6
201903,0
201909,0
201910,0
201912,5
202001,0
202005,1
202011,19
202012,0
202104,0
202105,7
202108,7
202109,0
202207,0
202304,47
202305,48
202306,78
202307,62
202308,16
202309,4
202310,6
202311,7
202312,18
