time,File
200204,0
200206,0
200207,0
200208,0
200210,0
200303,0
200304,1
200305,1
200306,0
200403,0
200410,2
200511,0
200512,0
200606,0
200608,2
200610,0
200611,0
200703,0
200704,0
200706,1
200709,0
200712,0
200802,0
200901,1
201007,3
201303,20
201304,1
201307,0
201308,0
201402,3
201608,0
201706,4
201710,0
201805,14
201812,3
201903,0
201909,0
201910,0
201912,0
202001,0
202005,0
202011,19
202012,0
202104,0
202105,2
202108,5
202109,0
202207,0
202304,28
202305,21
202306,45
202307,32
202308,4
202309,2
202310,6
202311,7
202312,1
