time,File
201107,175
201108,11
201109,3
201110,14
201111,37
201112,82
201201,6
201202,8
201203,6
201204,29
201205,13
201206,27
201207,21
201208,3
201209,20
201210,20
201211,25
201212,8
201301,13
201302,3
201303,121
201305,5
201306,7
201307,0
201309,3
201310,2
201311,2
201312,0
201401,0
201402,0
201403,1
201404,0
201405,149
201406,17
201407,2
201408,10
201409,0
201410,3
201411,0
201412,1
201501,1
201502,3
201503,0
201504,1
201505,23
201506,7
201507,0
201508,34
201509,28
201510,3
201511,4
201512,0
201601,22
201602,9
201603,5
201604,1
201605,13
201606,0
201607,0
201609,0
201610,7
201611,0
201612,4
201701,129
201702,1
201703,0
201704,1
201705,4
201707,127
201711,0
201801,0
201802,1
201804,0
201806,0
201808,0
201809,0
201810,13
201811,0
201812,4
201901,0
201902,6
201908,9
201909,1
202001,0
202002,4
202003,40
202004,33
202005,3
202006,4
202010,91
202102,10
202103,2
202105,0
202107,6
202108,3
202110,1
202202,1
202203,5
202205,2
202206,2
202207,5
202208,1
202209,2
202302,10
202303,3
202304,6
202305,2
202306,16
202307,9
202308,14
202309,4
202310,13
202312,1
202402,18
