time,File
200412,31
200501,6
200502,27
200503,5
200504,22
200505,45
200506,10
200507,17
200508,90
200509,2
200510,2
200511,7
200512,14
200601,54
200602,6
200603,7
200604,30
200605,7
200606,1
200607,8
200608,11
200609,8
200610,207
200611,117
200612,114
200701,43
200702,8
200703,104
200704,60
200705,72
200706,17
200707,25
200708,8
200709,41
200710,89
200711,29
200712,48
200801,55
200802,42
200803,89
200804,16
200805,33
200806,51
200807,1
200808,7
200809,4
200810,22
200811,22
200812,25
200901,76
200902,118
200903,54
200904,40
200905,49
200906,7
200907,0
200908,3
200909,9
200910,21
200911,48
200912,31
201001,52
201002,14
201003,7
201004,15
201005,29
201006,16
201007,15
201008,32
201009,29
201010,124
201011,25
201012,29
201101,130
201102,9
201103,1
201104,6
201105,4
201106,0
201107,4
201108,0
201109,4
201110,0
201111,1
201112,1
201203,0
201204,0
201205,49
201209,3
201210,8
201211,0
201212,8
201301,15
201302,1
201303,9
201304,4
201305,6
201306,0
201307,404
201308,26
201309,4
201310,6
201311,23
201312,11
201401,14
201402,6
201403,37
201404,17
201405,25
201406,1
201407,3
201408,3
201410,5
201411,0
201412,10
201502,5
201503,2
201504,105
201506,2
201507,22
201508,2
201509,21
201511,73
201512,9
201601,9
201602,6
201603,98
201604,13
201606,2
201608,5
201609,108
201610,0
201611,17
201612,1
201802,2
201803,92
201804,33
201805,9
201808,6
201810,0
201905,3
201910,61
202003,27
202010,52
202011,0
202012,15
202101,4
202109,22
202110,5
202112,5
202210,12
202211,24
202304,10
202307,14
202310,36
