time,File
201602,3
201603,5
201604,6
201605,274
201606,0
201607,4
201608,0
201609,1
201610,0
201611,0
201612,0
201701,1
201702,12
201703,1
201704,4
201706,0
201707,70
201708,6
201710,0
201711,3
201712,0
201801,0
201802,22
201804,0
201805,1
201806,0
201807,11
201808,0
201809,6
201810,6
201811,13
201812,2
201901,9
201902,1
201904,1
201905,5
201911,0
201912,1
202001,1
202003,0
202004,3
202005,8
202006,0
202007,3
202008,1
202009,1
202011,2
202012,0
202101,0
202102,22
202103,4
202106,1
202107,2
202109,1
202201,3
202202,10
202203,24
202204,37
202205,80
202206,8
202207,3
202208,6
202301,1
202401,11
202402,4
