time,File
200612,5
200702,4
200703,0
200706,12
200707,0
200708,49
200709,5
200710,8
200711,6
200712,3
200801,18
200802,28
200803,12
200804,8
200805,23
200806,5
200807,44
200808,61
200809,98
200810,14
200811,30
200812,4
200901,84
200902,141
200903,40
200904,14
200905,309
200906,26
200907,27
200908,54
200909,26
200910,20
200911,73
200912,3
201001,7
201002,61
201003,43
201004,8
201005,0
201006,14
201007,16
201008,70
201009,181
201010,296
201011,166
201012,60
201101,42
201102,460
201103,123
201104,116
201105,117
201106,0
201107,5
201108,15
201109,7
201110,26
201111,13
201112,121
201201,115
201202,8
201203,3
201204,6
201205,0
201206,6
201207,2
201208,1
201209,10
201210,8
201211,19
201212,204
201301,72
201302,713
201303,17
201304,26
201305,94
201306,54
201307,5
201308,109
201309,265
201310,49
201311,17
201312,102
201401,43
201402,61
201403,33
201404,11
201405,148
201406,18
201407,160
201408,5
201409,53
201410,0
201411,8
201412,3
201502,11
201503,42
201504,0
201505,1
201506,10
201507,0
201510,7
201602,56
201603,100
201604,6
201605,595
201606,513
201607,54
201608,62
201612,85
201701,43
201702,11
201704,2
201706,11
201707,2025
201708,13
201803,105
201806,0
201807,2
201809,0
201903,128
201906,1
201909,7
201910,0
202003,2
202004,193
202006,50
202101,243
202102,38
202104,12
202301,68
