time,File
201205,266
201206,20
201207,61
201208,61
201209,65
201210,61
201211,344
201212,424
201301,148
201302,144
201303,157
201304,96
201305,61
201306,75
201307,57
201308,54
201309,283
201310,9
201311,29
201312,4
201401,6
201402,22
201403,85
201404,117
201405,53
201406,279
201407,57
201408,14
201409,306
201410,32
201411,64
201412,133
201501,16
201502,40
201503,75
201504,64
201505,283
201506,8
201507,1
201508,102
201509,89
201510,76
201511,32
201512,91
201601,178
201602,3256
201603,6
201604,50
201605,20
201606,8
201607,1
201608,19
201609,1
201610,24
201611,26
201612,11
201701,0
201702,1
201703,3
201704,8
201705,0
201706,32
201707,2
201708,32
201709,12
201710,3
201711,30
201712,38
201801,0
201802,0
201803,0
201807,0
201808,2
201809,0
201810,0
201811,3
201812,4
201901,3
201902,1
201903,0
201904,0
201905,17
201906,1
201907,0
201909,2
201910,0
201911,41
201912,2
202001,11
202002,0
202003,27
202004,0
202005,37
202006,178
202007,30
202008,277
202009,11
202010,136
202011,82
202012,0
202101,18
202102,1
202103,0
202104,3
202105,0
202106,4
202108,31
202109,22
202110,22
202111,42
202112,13
202201,14
202202,40
202203,118
202204,88
202205,80
202206,88
202207,96
202208,133
202209,343
202210,246
202211,153
202212,55
202301,137
202302,69
202303,100
202304,74
202305,327
202306,921
202307,101
202308,120
202309,73
202310,328
202311,134
202312,244
202401,515
202402,281
202403,53
