time,File
201205,80
201206,10
201207,25
201208,20
201209,34
201210,27
201211,150
201212,147
201301,51
201302,53
201303,46
201304,32
201305,7
201306,14
201307,9
201308,10
201309,138
201310,0
201311,3
201312,1
201401,1
201402,3
201403,6
201404,9
201405,11
201406,37
201407,18
201408,0
201409,11
201410,8
201411,16
201412,32
201501,4
201502,5
201503,26
201504,27
201505,266
201506,3
201507,1
201508,32
201509,40
201510,8
201511,8
201512,27
201601,54
201602,599
201603,2
201604,10
201605,2
201606,0
201607,0
201608,1
201609,1
201610,22
201611,0
201612,1
201701,0
201702,1
201703,3
201704,3
201705,0
201706,10
201707,0
201708,0
201709,1
201710,0
201711,0
201712,3
201801,0
201802,0
201803,0
201807,0
201808,0
201809,0
201810,0
201811,0
201812,1
201901,0
201902,0
201903,0
201904,0
201905,0
201906,1
201907,0
201909,0
201910,0
201911,2
201912,0
202001,4
202002,0
202003,5
202004,0
202005,10
202006,100
202007,23
202008,249
202009,1
202010,18
202011,20
202012,0
202101,1
202102,1
202103,0
202104,0
202105,0
202106,2
202108,0
202109,2
202110,6
202111,3
202112,1
202201,10
202202,11
202203,10
202204,55
202205,36
202206,16
202207,54
202208,41
202209,177
202210,151
202211,40
202212,14
202301,55
202302,20
202303,31
202304,54
202305,29
202306,71
202307,37
202308,39
202309,18
202310,170
202311,49
202312,30
202401,127
202402,26
202403,19
