time,File
201003,1
201007,2
201104,0
201105,46
201106,0
201202,0
201203,0
201304,0
201305,12
201306,19
201307,1
201308,0
201309,6
201310,0
201311,0
201401,0
201402,0
201403,0
201404,1
201405,0
201406,1
201407,0
201408,3
201409,2
201410,0
201411,8
201412,1
201501,3
201502,0
201503,0
201504,0
201505,0
201506,0
201507,0
201508,30
201509,21
201510,0
201511,0
201512,23
201601,6
201602,0
201603,0
201604,0
201605,6
201606,2
201612,3
201701,5
201702,4
201703,10
201706,0
201707,2
201708,0
201709,7
201710,1
201802,0
201803,4
201806,0
201809,1
201811,1
201812,9
201901,0
201902,1
201903,0
201904,1
201905,2
201906,1
201907,0
201908,4
201909,0
201910,0
201911,2
201912,0
202001,177
202002,0
202006,1
202010,2
202011,1
202102,1
202206,1
202212,12
202301,5
202302,0
202312,33
202401,0
202402,8
202403,1
