time,File
201012,142
201101,50
201102,29
201103,2
201104,0
201105,5
201106,6
201107,2
201108,65
201109,1
201110,3
201112,8
201201,247
201202,15
201203,9
201204,10
201206,18
201207,35
201208,1
201209,50
201210,592
201211,12
201212,16
201301,52
201302,19
201303,46
201305,26
201306,108
201307,92
201308,22
201309,3
201310,235
201311,133
201312,23
201401,178
201402,124
201403,155
201404,23
201405,30
201406,78
201407,103
201408,108
201409,31
201410,27
201411,51
201412,21
201501,210
201502,4
201503,55
201504,8
201505,30
201506,28
201507,16
201508,1
201509,225
201510,53
201511,267
201512,45
201601,101
201602,123
201603,144
201604,136
201605,118
201606,2
201607,2089
201608,35
201609,32
201610,189
201611,110
201612,61
201701,49
201702,30
201703,129
201704,2
201705,90
201708,27
201710,1
201711,8
201801,14
201802,8
201803,7
201804,8
201805,4
201806,0
201807,13
201808,1
201809,2
201810,37
201811,0
201812,4
201901,2
201902,12
201903,31
201904,29
201905,21
201906,4
201909,10
201910,2
201911,2
201912,231
202001,12
202002,1
202003,12
202005,5
202007,2
202008,0
202009,18
202010,13
202011,41
202101,4
202311,119
