time,File
201010,180
201011,2
201101,1
201103,2
201106,2
201107,4
201109,1
201111,0
201112,0
201201,0
201202,0
201203,1
201204,0
201205,0
201206,0
201207,2
201211,13
201302,0
201304,1
201306,1
201307,5
201308,1
201310,0
201312,0
201401,0
201403,0
201404,36
201405,0
201406,13
201408,0
201409,8
201410,0
201411,0
201501,4
201505,0
201506,1
201507,0
201508,12
201509,26
201510,8
201511,2
201601,11
201602,17
201604,3
201605,16
201606,1
201607,1
201608,25
201609,10
201612,0
201705,3
201706,74
201707,9
201708,84
201709,16
201712,0
201801,17
201803,13
201804,20
201805,11
201806,3
201807,3
201809,15
201811,6
201903,14
201904,38
201905,6
201906,0
201908,37
201909,16
201910,1
202003,12
202006,1
202010,30
202011,27
202104,6
202209,4
202303,5
