time,File
201010,0
201011,1
201101,1
201103,0
201106,0
201107,0
201109,0
201111,0
201112,0
201201,0
201202,0
201203,0
201204,0
201205,0
201206,0
201207,0
201211,2
201302,0
201304,1
201306,0
201307,2
201308,1
201310,0
201312,0
201401,0
201403,0
201404,10
201405,0
201406,1
201408,0
201409,1
201410,0
201411,0
201501,0
201505,0
201506,1
201507,0
201508,1
201509,5
201510,4
201511,0
201601,0
201602,6
201604,0
201605,7
201606,0
201607,0
201608,8
201609,7
201612,0
201705,0
201706,4
201707,0
201708,5
201709,2
201712,0
201801,15
201803,1
201804,2
201805,5
201806,1
201807,0
201809,2
201811,2
201903,4
201904,14
201905,4
201906,0
201908,1
201909,6
201910,1
202003,10
202006,1
202010,11
202011,10
202104,2
202209,1
202303,3
