time,File
201601,59
201602,38
201603,30
201604,124
201605,212
201606,29
201607,5
201608,24
201609,28
201610,3
201611,30
201612,13
201701,10
201702,4
201703,16
201704,14
201705,16
201706,29
201707,14
201708,3
201709,18
201710,2
201711,0
201712,1
201801,2
201802,11
201803,12
201804,6
201805,8
201806,0
201807,29
201808,0
201809,0
201810,4
201811,4
201812,0
201901,4
201902,1
201903,2
201904,2
201905,5
201906,3
201907,0
201908,7
201909,1
201910,1
201911,6
202001,1
202002,2
202003,0
202004,1
202008,73
202009,3
202010,8
202011,52
202012,0
202101,0
202102,0
202103,25
202104,3
202105,2
202106,5
202107,28
202108,2
202109,2
202110,14
202112,0
202201,0
202202,31
202203,15
202204,5
202207,4
202208,3
202209,8
202210,1
202212,0
202301,2
202302,1
202303,29
202304,3
202306,3
202307,6
202308,4
202309,6
202310,6
202311,2
202312,20
202401,40
202402,226
202403,84
