time,File
200506,0
200507,0
200508,0
200509,0
200510,0
200511,0
200512,1
200601,9
200602,0
200603,0
200604,5
200605,11
200606,1
200607,9
200608,28
200609,26
200610,2
200611,1
200612,2
200701,242
200702,0
200703,0
200704,0
200705,0
200706,13
200707,0
200708,0
200709,2
200710,1
200711,3
200712,6
200801,4
200802,2
200803,4
200804,0
200805,0
200806,0
200807,0
200808,1
200809,0
200810,0
200811,0
200901,0
200902,1
200903,0
200906,0
200909,0
200912,0
201001,0
201002,0
201004,0
201005,0
201006,0
201007,0
201008,0
201009,0
201010,0
201011,23
201012,0
201101,3
201102,0
201103,0
201104,0
201106,0
201108,0
201109,0
201111,0
201201,1
201202,0
201203,0
201204,1
201205,0
201207,0
201208,1
201210,1
201211,0
201212,0
201303,0
201306,0
201307,1
201309,0
201312,2
201401,4
201404,1
201405,0
201407,0
201410,0
201412,0
201501,14
201502,0
201508,0
201509,0
201611,0
201704,0
201705,34
201706,27
201707,72
201708,10
201709,0
201710,0
201711,36
201712,41
201801,0
201802,3
201803,14
201806,1
201808,7
201905,1
201909,1
202103,2
202111,4
202211,4
202303,1
202304,2
202308,3
202309,1
