time,File
201607,305
201608,0
201609,56
201610,49
201701,25
201702,27
201703,112
201704,1
201705,14
201707,24
201709,6
201710,783
201711,1
201712,9
201801,47
201802,36
201805,12
201806,45
201807,26
201809,42
201902,44
201903,191
201904,47
201905,5
201906,1581
201907,55
201908,311
201909,779
201910,9
201911,29
202002,156
202003,20
202004,47
202005,72
202006,41
202008,38
202010,2398
202101,19
202102,34
202103,7
202104,11
202105,3
202203,8
202205,18
202206,499
202207,11
202208,47
202209,4
202210,0
202211,54
202301,427
202302,89
202303,7
202304,44
202305,38
202306,0
202307,141
202308,72
202309,1
202310,0
202311,110
202312,315
202401,13
202402,82
202403,353
