time,File
201607,124
201608,0
201609,49
201610,43
201701,16
201702,16
201703,0
201704,1
201705,12
201707,14
201709,3
201710,0
201711,1
201712,6
201801,41
201802,34
201805,10
201806,27
201807,19
201809,28
201902,37
201903,125
201904,41
201905,4
201906,288
201907,14
201908,100
201909,694
201910,7
201911,25
202002,128
202003,1
202004,28
202005,45
202006,40
202008,34
202010,739
202101,12
202102,34
202103,6
202104,9
202105,3
202203,8
202205,12
202206,13
202207,10
202208,38
202209,3
202210,0
202211,52
202301,203
202302,74
202303,7
202304,44
202305,22
202306,0
202307,44
202308,32
202309,0
202310,0
202311,110
202312,130
202401,7
202402,34
202403,203
