time,File
201610,199
201611,7
201612,141
201701,51
201702,60
201703,145
201704,103
201705,264
201706,71
201707,89
201708,1014
201709,207
201710,17
201711,119
201712,166
201801,68
201802,140
201803,150
201804,65
201805,148
201806,10
201807,97
201808,9
201809,59
201810,24
201811,15
201812,33
201901,13
201902,17
201903,197
201904,21
201905,29
201906,273
201907,57
201908,10
201909,34
201910,0
201911,13
201912,21
202001,6
202002,4
202003,134
202004,128
202005,45
202006,1
202007,1
202008,135
202009,155
202010,232
202011,87
202012,13
202101,13
202102,146
202103,212
202104,80
202105,30
202106,83
202107,122
202108,117
202109,80
202110,128
202111,75
202112,18
202201,30
202202,5
202203,27
202204,29
202205,0
202206,31
202207,0
202208,12
202209,0
202210,9
202211,122
202212,153
202301,17
202302,18
202303,23
202304,395
202305,2
202306,12
202307,43
202308,496
202309,4
202310,69
202311,2
202312,15
202401,62
202402,746
202403,169
