time,File
201404,203
201405,2
201406,1
201407,2
201408,1
201409,2
201410,0
201411,2
201412,0
201501,4
201502,4
201503,7
201504,8
201505,4
201506,13
201507,52
201508,11
201509,36
201510,9
201511,14
201512,65
201601,3
201602,7
201603,6
201604,1
201605,25
201606,26
201607,38
201608,3
201609,65
201610,198
201611,34
201612,2
201701,51
201702,223
201703,39
201704,170
201705,2
201706,24
201707,34
201708,25
201709,103
201710,29
201711,18
201712,3
201801,11
201802,102
201803,210
201804,25
201805,98
201806,27
201807,1
201808,169
201809,15
201810,26
201811,3
201812,10
201901,40
201902,10
201903,1
201904,0
201905,22
201906,4
201907,11
201908,1
201909,56
201910,41
201911,8
201912,0
202001,421
202002,124
202003,3
202004,5
202005,0
202006,4
202007,11
202008,2
202009,25
202010,1
202011,12
202012,52
202101,109
202102,82
202103,23
202104,85
202105,52
202106,144
202107,17
202108,22
202109,12
202110,24
202111,25
202112,34
202201,40
202202,95
202203,23
202204,9
202205,45
202206,39
202207,42
202208,33
202209,17
202210,5
202211,332
202212,13
202301,26
202302,119
202303,186
202304,33
202305,16
202306,85
202307,12
202308,39
202309,56
202310,124
202311,85
202312,16
202401,26
202402,77
202403,44
