time,File
201404,1
201405,2
201406,1
201407,2
201408,1
201409,0
201410,0
201411,0
201412,0
201501,0
201502,2
201503,0
201504,0
201505,2
201506,6
201507,19
201508,0
201509,17
201510,2
201511,5
201512,1
201601,2
201602,1
201603,3
201604,1
201605,4
201606,1
201607,0
201608,1
201609,20
201610,46
201611,2
201612,1
201701,9
201702,8
201703,8
201704,60
201705,2
201706,5
201707,11
201708,3
201709,1
201710,10
201711,5
201712,0
201801,0
201802,17
201803,9
201804,8
201805,27
201806,5
201807,0
201808,8
201809,7
201810,16
201811,1
201812,7
201901,8
201902,4
201903,0
201904,0
201905,2
201906,1
201907,0
201908,1
201909,1
201910,9
201911,5
201912,0
202001,65
202002,59
202003,1
202004,3
202005,0
202006,0
202007,5
202008,2
202009,2
202010,0
202011,6
202012,9
202101,7
202102,25
202103,1
202104,17
202105,10
202106,20
202107,5
202108,16
202109,2
202110,13
202111,8
202112,7
202201,9
202202,16
202203,8
202204,2
202205,7
202206,20
202207,15
202208,13
202209,7
202210,1
202211,6
202212,11
202301,4
202302,19
202303,23
202304,15
202305,3
202306,47
202307,1
202308,10
202309,9
202310,19
202311,29
202312,1
202401,5
202402,26
202403,11
