time,File
201306,10
201307,8
201308,19
201309,5
201310,28
201311,12
201312,15
201401,31
201402,140
201403,52
201404,7
201405,5
201406,72
201407,25
201408,77
201409,71
201410,230
201411,7
201412,19
201501,17
201502,120
201503,38
201504,63
201505,52
201506,31
201507,77
201508,52
201509,27
201510,11
201511,27
201512,14
201601,14
201602,137
201603,43
201604,31
201605,53
201606,15
201607,27
201608,35
201609,21
201610,112
201611,24
201701,3
201702,18
201704,115
201705,47
201706,35
201707,19
201708,0
201709,2
201710,16
201711,15
201712,9
201804,4
201805,20
201806,9
201807,6
201808,36
201809,26
201901,8
201907,12
