time,File
201502,6
201503,34
201504,0
201506,3
201507,1
201510,10
201511,19
201512,7
201601,6
201602,75
201603,1
201604,0
201606,17
201607,7
201608,5
201609,5
201610,6
201611,11
201612,18
201701,12
201702,20
201703,77
201704,10
201706,1
201707,2
201708,0
201709,0
201710,0
201711,5
201712,1
201801,11
201802,4
201803,7
201804,0
201805,2
201806,2
201807,1
201808,7
201810,1
201811,11
201812,2
201902,0
201903,4
201904,0
201905,1
201906,2
201907,8
201908,19
201910,11
201911,4
202001,10
202002,10
202003,1
202004,72
202005,4
202006,9
202007,8
202008,0
202009,17
202010,1
202011,37
202012,16
202101,1
202102,3
202103,51
202104,27
202106,20
202107,5
202108,370
202109,18
202110,29
202111,8
202112,23
202201,2
202202,33
202203,3
202204,2
202206,14
202207,38
202210,23
202211,3
202212,16
202301,61
202302,51
202303,14
202305,42
202306,6
202307,133
202308,2
202309,7
202310,47
202311,47
202312,4
202401,37
202402,16
