time,File
200503,2
200504,33
200505,3
200506,10
200507,15
200508,9
200509,2
200510,1
200512,87
200601,1
200602,94
200603,24
200604,33
200605,62
200606,35
200607,0
200608,2
200609,96
200610,10
200611,1
200612,31
200701,7
200703,14
200705,6
200706,12
200707,2
200708,32
200709,6
200710,2
200711,1
200712,0
200801,8
200802,5
200803,1
200806,0
200807,3
200809,3
200810,0
200812,13
200901,23
200902,24
200903,0
200906,0
200908,28
200910,0
200911,6
200912,0
201001,0
201002,8
201003,37
201004,7
201006,41
201007,55
201008,22
201010,8
201011,21
201012,1
201101,3
201103,0
201104,0
201105,2
201106,0
201107,0
201108,3
201109,22
201110,2
201111,2
201112,1
201201,2
201202,1
201203,0
201206,3
201207,0
201209,0
201211,0
201301,0
201303,3
201304,0
201305,6
201306,3
201307,1
201310,0
201311,0
201312,0
201401,1
201403,39
201404,0
201405,0
201406,50
201407,0
201409,1
201410,0
201411,2
201412,0
201502,0
201503,0
201504,2
201505,0
201506,0
201507,4
201508,8
201509,49
201510,0
201511,0
201512,0
201601,0
201602,9
201604,1
201605,1
201606,5
201607,1
201608,2
201610,0
201612,0
201701,30
201702,0
201704,1
201707,1
201708,2
201709,2
201711,2
201712,0
201801,52
201803,17
201804,1
201805,18
201806,16
201807,3
201808,24
201809,0
201810,7
201811,1
201901,5
201902,7
201903,0
201904,13
201905,1
201908,4
201909,1
201910,1
201911,7
201912,0
202001,0
202002,17
202004,0
202005,0
202006,0
202007,1
202008,21
202012,0
202101,2
202102,78
202103,11
202106,54
202110,5
202111,11
202112,1
202201,28
202205,11
202206,0
202208,14
202212,0
202303,3
202308,100
202309,5
202310,11
202311,4
