time,File
201109,219
201110,0
201111,7
201112,5
201201,1
201202,5
201203,17
201204,2
201205,12
201206,0
201207,2
201208,24
201209,1
201210,0
201211,0
201212,8
201301,2
201302,25
201303,1
201304,14
201305,18
201306,12
201307,2
201308,1
201309,31
201310,2
201311,0
201312,0
201401,3
201402,0
201403,4
201404,5
201405,0
201406,2
201407,0
201408,8
201409,304
201410,7
201411,19
201412,4
201501,9
201502,12
201503,6
201504,10
201505,3
201506,34
201507,8
201508,8
201509,4
201510,3
201511,6
201512,4
201601,26
201603,2
201604,0
201605,14
201606,3
201607,5
201608,24
201609,9
201610,4
201611,24
201701,12
201702,10
201703,12
201704,31
201705,36
201706,10
201707,45
201708,5
201709,29
201710,13
201711,9
201712,0
201801,6
201802,1
201803,125
201804,2
201805,10
201806,230
201807,6
201808,13
201809,22
201810,5
201811,3
201812,7
201901,2
201902,11
201903,57
201904,27
201905,85
201906,5
201907,146
201908,4
201909,15
201910,7
201911,20
202001,9
202003,7
202008,0
202108,6
202202,98
202204,2
202211,26
202212,5
202301,9
202302,5
