time,File
201012,0
201101,1
201103,0
201104,2
201105,4
201106,1
201107,10
201108,21
201109,0
201110,0
201111,14
201112,11
201201,3
201202,0
201203,0
201204,8
201205,0
201207,4
201209,0
201210,1
201212,2
201306,22
201307,0
201309,0
201310,9
201311,0
201401,1
201402,1
201403,0
201404,1
201405,1
201406,0
201407,0
201410,0
201501,0
201503,0
201504,1
201505,0
201509,0
201510,0
201511,0
201601,0
201602,0
201603,0
201604,0
201605,0
201607,9
201609,0
201610,0
201611,1
201612,2
201701,19
201702,2
201703,0
201704,0
201705,7
201706,1
201707,0
201708,0
201710,0
201711,0
201712,5
201801,0
201805,1
201809,0
201810,0
202001,0
202011,0
202102,0
202201,0
202204,0
202208,3
202210,95
202211,4
202212,241
202301,58
202302,8
202303,30
202304,1
202305,9
202306,5
202307,16
202308,3
202309,2
202310,1
202311,0
202312,32
202401,4
