time,FileRBR
201605,1
201606,16
201607,3
201608,2
201609,9
201611,2
201612,1
201701,2
201702,2
201703,2
201704,30
201705,0
201706,0
201707,0
201708,0
201709,2
201710,1
201711,0
201712,0
201802,0
201803,2
201804,2
201805,8
201806,0
201807,23
201809,1
201810,0
201811,0
201903,0
201904,0
201905,0
201906,15
201907,8
201908,15
201910,3
201911,0
201912,1
202001,11
202002,8
202003,0
202004,2
202005,3
202008,2
202009,1
202010,0
202011,0
202012,1
202101,0
202102,2
202103,3
202105,0
202106,9
202107,3
202108,113
202109,37
202110,43
202112,0
202201,4
202203,2
202204,2
202205,15
202206,1
202207,11
202211,2
202212,3
202301,0
202302,3
202303,2
202305,1
202308,22
202309,8
202311,5
202401,16
202402,9
