time,refactFileRBR
201605,0
201606,3
201607,1
201608,0
201609,2
201611,1
201612,1
201701,1
201702,1
201703,1
201704,0
201705,0
201706,0
201707,0
201708,0
201709,0
201710,0
201711,0
201712,0
201802,0
201803,0
201804,0
201805,2
201806,0
201807,10
201809,1
201810,0
201811,0
201903,0
201904,0
201905,0
201906,7
201907,1
201908,6
201910,1
201911,0
201912,0
202001,2
202002,8
202003,0
202004,0
202005,1
202008,1
202009,0
202010,0
202011,0
202012,1
202101,0
202102,1
202103,0
202105,0
202106,6
202107,0
202108,35
202109,6
202110,24
202112,0
202201,3
202203,1
202204,0
202205,5
202206,1
202207,8
202211,1
202212,0
202301,0
202302,1
202303,2
202305,1
202308,3
202309,6
202311,2
202401,9
202402,6
